Date,Start Time,End Time,,,,,,Send data from,238,
"Mon, Feb 1 ",12:00:00 AM,12:00:00 AM,,,,,,,,Success : NosleepData added to database
"Mon, Feb 1 ",1:30:00 AM,9:30:00 AM,,,,,,,,
"Tue, Feb 2 ",12:00:00 AM,9:00:00 AM,,,,,,,,
"Wed, Feb 3 ",1:00:00 AM,7:40:00 AM,,,,,,,,
"Wed, Feb 3 ",9:00:00 AM,9:30:00 AM,,,,,,,,
"Wed, Feb 3 ",1:20:00 PM,3:30:00 PM,,,,,,,,
"Thu, Feb 4 ",2:30:00 AM,10:30:00 AM,,,,,,,,
"Fri, Feb 5 ",12:48:10 AM,10:00:00 AM,,,,,,,,
"Sat, Feb 6 ",1:00:00 AM,10:30:00 AM,,,,,,,,
"Sat, Feb 6 ",11:30:00 PM,11:59:59 PM,,,,,,,,
"Sun, Feb 7 ",12:00:00 AM,7:00:00 AM,,,,,,,,
"Mon, Feb 8 ",12:00:00 AM,10:30:00 AM,,,,,,,,
"Mon, Feb 8 ",2:30:00 PM,3:20:00 PM,,,,,,,,
"Tue, Feb 9 ",1:00:00 AM,10:00:00 AM,,,,,,,,
"Wed, Feb 10 ",2:30:00 AM,11:00:00 AM,,,,,,,,
"Thu, Feb 11 ",1:30:00 AM,11:00:00 AM,,,,,,,,
"Thu, Feb 11 ",10:30:00 PM,11:59:59 PM,,,,,,,,
"Fri, Feb 12 ",12:00:00 AM,6:45:00 AM,,,,,,,,
"Fri, Feb 12 ",11:30:00 PM,11:59:59 PM,,,,,,,,
"Sat, Feb 13 ",12:00:00 AM,9:00:00 AM,,,,,,,,
"Sat, Feb 13 ",10:30:00 PM,11:59:59 PM,,,,,,,,
"Sun, Feb 14 ",12:00:00 AM,10:00:00 AM,,,,,,,,
"Mon, Feb 15 ",1:00:00 AM,10:00:00 AM,,,,,,,,
"Tue, Feb 16 ",2:00:00 AM,10:45:00 AM,,,,,,,,
"Wed, Feb 17 ",1:45:00 AM,9:00:00 AM,,,,,,,,
"Wed, Feb 17 ",2:00:00 PM,4:30:00 PM,,,,,,,,
"Thu, Feb 18 ",2:00:00 AM,6:00:00 AM,,,,,,,,
"Fri, Feb 19 ",2:00:00 AM,8:00:00 AM,,,,,,,,
"Sat, Feb 20 ",12:00:00 AM,7:00:00 AM,,,,,,,,
"Sun, Feb 21 ",1:00:00 AM,8:00:00 AM,,,,,,,,
"Mon, Feb 22 ",1:30:00 AM,10:00:00 AM,,,,,,,,
"Tue, Feb 23 ",1:30:00 AM,9:00:00 AM,,,,,,,,
"Tue, Feb 23 ",10:30:27 PM,11:59:00 PM,,,,,,,,
"Wed, Feb 24 ",12:00:00 AM,2:00:00 AM,,,,,,,,
"Wed, Feb 24 ",4:00:00 AM,10:00:00 AM,,,,,,,,
"Thu, Feb 25 ",2:00:00 AM,9:00:00 AM,,,,,,,,
"Thu, Feb 25 ",1:00:00 PM,3:00:00 PM,,,,,,,,
"Fri, Feb 26 ",2:00:00 AM,10:00:00 AM,,,,,,,,
"Sat, Feb 27 ",1:00:00 AM,9:00:00 AM,,,,,,,,
"Sun, Feb 28 ",12:00:00 AM,8:00:00 AM,,,,,,,,
"Mon, Mar 1 ",12:00:00 AM,6:30:00 AM,,,,,,,,
"Tue, Mar 2 ",1:00:00 AM,10:00:00 AM,,,,,,,,
"Tue, Mar 2 ",1:30:00 PM,3:00:00 PM,,,,,,,,
"Wed, Mar 3 ",12:40:00 AM,8:00:00 AM,,,,,,,,
"Thu, Mar 4 ",2:20:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 5 ",2:00:00 AM,6:00:00 AM,,,,,,,,
"Fri, Mar 5 ",6:00:00 AM,9:00:00 AM,,,,,,,,
"Fri, Mar 5 ",9:00:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 5 ",2:00:00 PM,4:00:00 PM,,,,,,,,
"Sat, Mar 6 ",2:30:00 AM,6:00:00 AM,,,,,,,,
"Sat, Mar 6 ",6:00:00 AM,8:00:00 AM,,,,,,,,
"Sat, Mar 6 ",8:45:00 AM,11:30:00 AM,,,,,,,,
"Sun, Mar 7 ",2:00:00 AM,6:00:00 AM,,,,,,,,
"Sun, Mar 7 ",6:00:00 AM,9:00:00 AM,,,,,,,,
"Sun, Mar 7 ",10:00:00 AM,11:30:00 AM,,,,,,,,
"Sun, Mar 7 ",1:00:00 PM,2:30:00 PM,,,,,,,,
"Mon, Mar 8 ",3:30:00 AM,8:00:00 AM,,,,,,,,
"Tue, Mar 9 ",1:30:00 AM,8:00:00 AM,,,,,,,,
"Wed, Mar 10 ",1:00:00 AM,9:00:00 AM,,,,,,,,
"Wed, Mar 10 ",1:00:00 PM,3:30:00 PM,,,,,,,,
"Fri, Mar 12 ",2:00:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 12 ",2:00:00 PM,3:30:00 PM,,,,,,,,
"Sat, Mar 13 ",3:00:00 AM,3:15:00 AM,,,,,,,,
"Sat, Mar 13 ",3:15:00 AM,10:00:00 AM,,,,,,,,
"Sun, Mar 14 ",2:00:00 AM,9:40:00 AM,,,,,,,,
"Sun, Mar 14 ",5:00:00 PM,6:00:00 PM,,,,,,,,
"Mon, Mar 15 ",2:00:00 AM,10:30:00 AM,,,,,,,,
"Tue, Mar 16 ",4:00:00 AM,10:00:00 AM,,,,,,,,
"Tue, Mar 16 ",3:00:00 PM,4:30:00 PM,,,,,,,,
"Wed, Mar 17 ",3:30:00 AM,10:00:00 AM,,,,,,,,
"Thu, Mar 18 ",3:00:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 19 ",3:00:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 19 ",10:52:07 PM,11:59:00 PM,,,,,,,,
"Sat, Mar 20 ",12:00:00 AM,1:30:00 AM,,,,,,,,
"Sat, Mar 20 ",1:30:00 AM,2:30:00 AM,,,,,,,,
"Sat, Mar 20 ",2:30:00 AM,11:30:00 AM,,,,,,,,
"Sun, Mar 21 ",3:00:00 AM,11:00:00 AM,,,,,,,,
"Mon, Mar 22 ",2:00:00 AM,9:40:00 AM,,,,,,,,
"Tue, Mar 23 ",1:20:00 AM,10:00:00 AM,,,,,,,,
"Wed, Mar 24 ",1:40:00 AM,10:00:00 AM,,,,,,,,
"Thu, Mar 25 ",1:15:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 26 ",3:00:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 26 ",8:00:00 PM,9:00:00 PM,,,,,,,,
"Sat, Mar 27 ",12:00:00 AM,10:00:00 AM,,,,,,,,
"Sun, Mar 28 ",1:00:00 AM,10:00:00 AM,,,,,,,,
"Mon, Mar 29 ",2:30:00 AM,11:00:00 AM,,,,,,,,
"Tue, Mar 30 ",1:00:00 AM,8:30:00 AM,,,,,,,,
"Wed, Mar 31 ",2:00:00 AM,6:30:00 AM,,,,,,,,
"Wed, Mar 31 ",9:00:00 AM,11:00:00 AM,,,,,,,,
"Wed, Mar 31 ",11:30:00 PM,11:59:00 PM,,,,,,,,
"Thu, Apr 1 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Thu, Apr 1 ",6:10:00 AM,10:00:00 AM,,,,,,,,
"Fri, Apr 2 ",2:00:00 AM,10:00:00 AM,,,,,,,,
"Sat, Apr 3 ",2:30:00 AM,10:00:00 AM,,,,,,,,
