Date,Start Time,End Time,Activity,Category,,Timestamp
"Monday, 1 February 2021",0:00,0:00,Sleep,Sleep,,
"Monday, 1 February 2021",1:30,9:30,Sleep,Sleep,,
"Monday, 1 February 2021",9:30,10:00,Freshen up,Extra,,
"Monday, 1 February 2021",9:30,10:00,Chay,Eating,,
"Monday, 1 February 2021",10:00,10:40,Recharge,Inside Task,,
"Monday, 1 February 2021",10:40,12:00,Diary + Plan,Writing,,
"Monday, 1 February 2021",12:00,12:40,Lunch + ,Eating,,
"Monday, 1 February 2021",12:00,12:40,Sandiao,Leisure,,
"Monday, 1 February 2021",12:40,13:10,Rearrange Table Book shelf',Inside Task,,
"Monday, 1 February 2021",13:10,16:00,Mutual fund Intro,Information,,
"Monday, 1 February 2021",16:00,16:20,Blockchain Session,Office call,,
"Monday, 1 February 2021",16:30,17:00,SBI call,Phone Call,,
"Monday, 1 February 2021",17:00,18:30,Mutual fund Intro,Information,,
"Monday, 1 February 2021",18:30,20:00,Rajat/ Monu,Friends,,
"Monday, 1 February 2021",20:00,21:20,"Expense, Mutual Fund, Showing mon my expense table",Expense,,
"Monday, 1 February 2021",21:20,23:00,Reading Padmarag,Read,,
"Monday, 1 February 2021",23:00,23:59,Masturbate,Masturbate,,
"Tuesday, 2 February 2021",0:00,9:00,Sleep,Sleep,,
"Tuesday, 2 February 2021",9:00,10:00,Freshen,Extra,,
"Tuesday, 2 February 2021",9:00,10:00,Chay,Eating,,
"Tuesday, 2 February 2021",10:00,11:30,SBI Bank + CSIS inquiry,Information,,
"Tuesday, 2 February 2021",11:30,14:30,Goverdhan + Baba + Bike,Outside Task,,
"Tuesday, 2 February 2021",14:30,15:30,CSIS,Information,,
"Tuesday, 2 February 2021",15:30,16:30,Blockchain Session,Office call,,
"Tuesday, 2 February 2021",16:30,16:45,CSIS,Information,,
"Tuesday, 2 February 2021",16:45,17:30,Call Abhinav,Information,,
"Tuesday, 2 February 2021",17:30,20:00,Rajat/ (Monu fucked Nikki),Friends,,
"Tuesday, 2 February 2021",20:00,20:30,CSIS,Information,,
"Tuesday, 2 February 2021",20:30,22:00,Call Abhinav (CSIS) + Grievence,Information,,
"Tuesday, 2 February 2021",22:00,23:00,Dinner + ,Eating,,
"Tuesday, 2 February 2021",22:00,23:00,Sandiao,Leisure,,
"Tuesday, 2 February 2021",23:00,23:59,"Social media,meme",Social Media,,
"Wednesday, 3 February 2021",0:00,1:00,Masturbate,Masturbate,,
"Wednesday, 3 February 2021",1:00,7:40,Sleep,Sleep,,
"Wednesday, 3 February 2021",7:40,8:00,Freshen,Extra,,
"Wednesday, 3 February 2021",8:00,8:30,Wait,Extra,,
"Wednesday, 3 February 2021",8:30,9:00,Running,Exercise,,
"Wednesday, 3 February 2021",9:00,9:30,Rest,Sleep,,
"Wednesday, 3 February 2021",9:30,10:00,"Bath, Ready",Extra,,
"Wednesday, 3 February 2021",10:00,11:00,"Groww, Expense, Credit card apply, document sort folder, Diary entry",Expense,,
"Wednesday, 3 February 2021",11:00,11:40,Carrots,Inside Task,,
"Wednesday, 3 February 2021",11:40,12:40,Lunch + Sandiao,Eating,,
"Wednesday, 3 February 2021",11:40,12:40,Sandiao,Leisure,,
"Wednesday, 3 February 2021",12:40,13:00,Nothing,Extra,,
"Wednesday, 3 February 2021",13:00,13:20,Bed + Insta,Social Media,,
"Wednesday, 3 February 2021",13:20,15:30,Sleep,Sleep,,
"Wednesday, 3 February 2021",15:30,16:00,Tea,Extra,,
"Wednesday, 3 February 2021",16:00,18:00,Mutual fund On diary,Expense,,
"Wednesday, 3 February 2021",18:00,20:00,Rajat/ Monu,Friends,,
"Wednesday, 3 February 2021",20:00,22:30,Mutual fund Planning,Expense,,
"Wednesday, 3 February 2021",22:30,23:59,Expense Website,Expense,,
"Thursday, 4 February 2021",0:00,1:00,Expense Website,Expense,,
"Thursday, 4 February 2021",1:00,1:30,Reading Padmarag,Read,,
"Thursday, 4 February 2021",1:30,2:00,"Thinking, Insta",Writing,,
"Thursday, 4 February 2021",2:00,2:30,Masturbate,Masturbate,,
"Thursday, 4 February 2021",2:30,10:30,Sleep,Sleep,,
